start_ts,end_ts,flow,avg_flow,std,pred
2016-01-02 23:32:02,2016-01-03 00:01:33,609,10.15,3.91503512117,10.549696858057187
2016-01-03 00:02:03,2016-01-03 00:31:32,474,7.9,3.59490380029,9.213209582174112
2016-01-03 00:32:03,2016-01-03 01:01:33,314,5.233333333333333,2.77108081602,3.604400656681631
2016-01-03 01:02:03,2016-01-03 01:31:34,250,4.166666666666667,2.00138840697,5.55422409424787
2016-01-03 01:32:04,2016-01-03 02:01:33,218,3.6333333333333333,2.21334337347,2.969771855643834
2016-01-03 02:02:03,2016-01-03 02:31:32,174,2.9,2.21133443875,1.775140700645733
2016-01-03 02:32:02,2016-01-03 03:01:32,154,2.566666666666667,1.60589192939,3.57281532767569
2016-01-03 03:02:03,2016-01-03 03:31:32,122,2.033333333333333,1.35359603362,1.9869023801504664
2016-01-03 03:32:03,2016-01-03 04:01:32,132,2.2,1.46969384567,2.9367267989029324
2016-01-03 04:02:03,2016-01-03 04:32:32,122,2.033333333333333,1.77920081934,1.1909230694230906
2016-01-03 04:33:04,2016-01-03 05:02:33,115,1.9166666666666667,1.47525892266,2.2155695568970932
2016-01-03 05:03:03,2016-01-03 05:32:33,150,2.5,1.44337567297,1.6173494532533739
2016-01-03 05:33:02,2016-01-03 06:02:33,236,3.933333333333333,2.30843862576,2.4591563392755247
2016-01-03 06:03:03,2016-01-03 06:32:33,387,6.45,3.48532638357,4.850892554017918
2016-01-03 06:33:02,2016-01-03 07:02:33,460,7.666666666666667,3.61785694699,10.079351204600254
2016-01-03 07:03:03,2016-01-03 07:32:34,533,8.883333333333333,3.57347481063,7.988057450162213
2016-01-03 07:33:03,2016-01-03 08:02:32,627,10.45,4.52557546985,8.01312381798134
2016-01-03 08:03:02,2016-01-03 08:32:33,703,11.716666666666667,4.90269200429,14.755954734759182
2016-01-03 08:33:03,2016-01-03 09:02:33,767,12.783333333333333,4.0087058039,11.269592256429426
2016-01-03 09:03:03,2016-01-03 09:32:33,950,15.833333333333334,5.42268895988,12.928071277190273
2016-01-03 09:33:02,2016-01-03 10:02:33,1080,18.0,6.34297511688,19.27608828477555
2016-01-03 10:03:03,2016-01-03 10:32:33,1227,20.45,6.93163039984,15.729165061056676
2016-01-03 10:33:03,2016-01-03 11:02:33,1442,24.033333333333335,7.04028092874,20.79890676148072
2016-01-03 11:03:03,2016-01-03 11:32:33,1434,23.9,7.03491293478,24.2896232709532
2016-01-03 11:33:04,2016-01-03 12:02:34,1592,26.533333333333335,8.1434363481,25.080772530109503
2016-01-03 12:03:03,2016-01-03 12:32:36,1661,27.683333333333334,8.49998366012,24.028392206386133
2016-01-03 12:33:03,2016-01-03 13:02:33,1683,28.05,6.75382607613,26.60450831396709
2016-01-03 13:03:03,2016-01-03 13:32:33,1653,27.55,6.69931588547,30.770315998327767
2016-01-03 13:33:04,2016-01-03 14:02:34,1554,25.9,9.14275669588,30.764754444003646
2016-01-03 14:03:04,2016-01-03 14:32:33,1756,29.266666666666666,7.97050116924,28.644235877411404
2016-01-03 14:33:03,2016-01-03 15:02:33,1613,26.883333333333333,7.50131469959,26.978905379355066
2016-01-03 15:03:03,2016-01-03 15:32:33,1685,28.083333333333332,7.23945593413,25.107301362457978
2016-01-03 15:33:03,2016-01-03 16:02:33,1538,25.633333333333333,7.51879127402,21.932293836570175
